STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
62…147,2032303,C,3,701,A,65,2
62…147,1371111,C,1,704,C+,65,2
62…147,2999037,C,3,700,D+,65,2
62…147,2738473,C,3,700,F,65,2
62…147,2204232,C,3,700,F,65,2
62…147,2204497,C,1,700,F,65,2
62…147,2204482,C,3,700,W,65,2
62…148,2204490,C,6,711,A,65,2
62…149,1420114,C,1,715,A,65,2
62…149,2204499,C,2,711,A,65,2
62…149,1420112,C,3,700,C+,65,2
62…149,2204472,C,3,700,C+,65,2
62…150,2204490,C,6,711,A,65,2
62…152,2738473,C,3,700,A,65,2
62…152,2204499,C,2,711,A,65,2
62…152,2204421,C,3,700,B,65,2
62…152,2204371,C,3,700,B,65,2
62…153,2204490,C,6,711,A,65,2
62…155,3751111,C,3,701,A,65,2
62…155,2738473,C,3,700,A,65,2
62…155,2204499,C,2,711,A,65,2
62…155,2204451,C,3,700,B,65,2
62…155,2204472,C,3,700,B,65,2
62…155,2204341,C,3,700,C+,65,2
62…156,2032303,C,3,701,A,65,2
62…156,2204421,C,3,700,B,65,2
62…156,1417267,C,3,700,D,65,2
62…156,2204499,C,2,711,W,65,2
62…157,2204490,C,6,711,A,65,2
62…158,2204490,C,6,711,A,65,2
62…159,2204490,C,6,711,A,65,2
62…160,2204490,C,6,711,A,65,2
62…161,2204490,C,6,711,A,65,2
62…162,2204490,C,6,711,A,65,2
62…164,2204490,C,6,711,A,65,2
62…166,2738473,C,3,700,A,65,2
62…166,2714101,C,3,701,A,65,2
62…166,1420114,C,1,717,A,65,2
62…166,2204499,C,2,711,A,65,2
62…166,1355209,C,3,701,B,65,2
62…166,2204421,C,3,700,B+,65,2
62…166,2204482,C,3,700,C+,65,2
62…167,2204490,C,6,711,A,65,2
62…168,2204490,C,6,711,A,65,2
62…169,2204490,C,6,711,A,65,2
62…170,3751111,C,3,701,A,65,2
62…170,2032303,C,3,701,A,65,2
62…170,2204499,C,2,711,A,65,2
62…170,1420114,C,1,715,B,65,2
62…170,2204421,C,3,700,C+,65,2
62…170,1420112,C,3,700,D+,65,2
62…171,3600012,C,3,700,A,65,2
62…171,2204461,C,3,700,A,65,2
62…171,2204472,C,3,700,B,65,2
62…171,1420114,C,1,717,C+,65,2
62…172,2204499,C,2,711,A,65,2
62…172,2204421,C,3,700,C,65,2
62…172,1417267,C,3,700,D,65,2
62…172,1999041,C,3,700,D+,65,2
62…173,1420114,C,1,715,A,65,2
62…173,2032303,C,3,701,A,65,2
62…173,2738473,C,3,700,A,65,2
62…173,2204499,C,2,711,A,65,2
62…173,2204421,C,3,700,B,65,2
62…173,1417267,C,3,700,D,65,2
62…173,1420112,C,3,700,D+,65,2
62…174,2204490,C,6,711,A,65,2
62…175,2738473,C,3,700,A,65,2
62…175,2999037,C,3,700,A,65,2
62…175,2204461,C,3,700,A,65,2
62…175,2204499,C,2,711,A,65,2
62…175,1175119,C,1,711,B,65,2
62…175,1420114,C,1,717,C,65,2
62…175,2204472,C,3,700,C+,65,2
62…176,1999035,C,3,700,A,65,2
62…176,2204272,C,1,711,A,65,2
62…176,2204341,C,3,700,C,65,2
62…176,2204421,C,3,700,C+,65,2
62…176,92204172,C,1,711,F,65,2
62…176,1417267,C,3,700,W,65,2
62…177,2204499,C,2,711,A,65,2
62…177,2204421,C,3,700,C,65,2
62…177,1417267,C,3,700,F,65,2
62…178,2204490,C,6,711,A,65,2
62…179,2204490,C,6,711,A,65,2
62…180,2204490,C,6,711,A,65,2
62…181,2204490,C,6,711,A,65,2
62…183,2714101,C,3,700,A,65,2
62…183,2204461,C,3,700,C+,65,2
62…183,2204482,C,3,700,D+,65,2
62…183,2204499,C,2,711,F,65,2
62…184,2204490,C,6,711,A,65,2
62…185,2204499,C,2,711,A,65,2
62…185,2204412,C,3,700,B,65,2
62…185,2204472,C,3,700,C+,65,2
62…185,1417168,C,3,702,D,65,2
62…187,2204490,C,6,711,A,65,2
62…188,2204490,C,6,711,A,65,2
62…189,2032303,C,3,701,A,65,2
62…189,1999035,C,3,700,A,65,2
62…189,2204421,C,3,700,C+,65,2
62…189,2204232,C,3,700,D+,65,2
62…189,1417267,C,3,700,F,65,2
62…189,2204499,C,2,711,W,65,2
62…190,2204490,C,6,711,A,65,2
62…191,2204490,C,6,711,A,65,2
62…192,2204490,C,6,711,A,65,2
62…193,2204490,C,6,711,A,65,2
62…194,2204490,C,6,711,A,65,2
62…195,2204490,C,6,711,A,65,2
62…196,2204490,C,6,711,A,65,2
62…197,2204497,C,1,700,B+,65,2
62…197,2204472,C,3,700,C+,65,2
62…197,2204232,C,3,700,D,65,2
62…197,2206111,C,3,702,D,65,2
62…197,1417168,C,3,700,F,65,2
62…198,2204490,C,6,711,A,65,2
62…199,2204490,C,6,711,A,65,2
62…200,2204490,C,6,711,A,65,2
62…201,2738473,C,3,700,A,65,2
62…201,2204281,C,3,700,B,65,2
62…201,2204421,C,3,700,C,65,2
62…201,92204172,C,1,711,C,65,2
62…201,2204341,C,3,700,C,65,2
62…201,1101101,C,3,700,W,65,2
62…201,2204451,C,3,700,W,65,2
62…202,2204490,C,6,711,A,65,2
62…204,2204490,C,6,711,A,65,2
62…206,2204499,C,2,711,A,65,2
62…206,2204341,C,3,700,B,65,2
62…206,2204421,C,3,700,C,65,2
62…207,2204372,C,3,700,B,65,2
62…207,2204497,C,1,700,B+,65,2
62…207,2204371,C,3,700,C,65,2
62…207,2204341,C,3,700,C+,65,2
62…207,2204472,C,3,700,C+,65,2
62…207,2206111,C,3,701,D,65,2
62…207,1417168,C,3,700,F,65,2
62…207,2204223,C,3,700,F,65,2
62…208,2204472,C,3,700,B+,65,2
62…208,2204499,C,2,711,F,65,2
62…209,2204490,C,6,711,A,65,2
62…210,2204490,C,6,711,A,65,2
62…211,2204490,C,6,711,A,65,2
62…212,2204490,C,6,711,A,65,2
62…213,2204490,C,6,711,A,65,2
62…214,2204490,C,6,711,A,65,2
