STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
62…147,2999144,C,1,731,A,62,1
62…147,1999111,C,2,717,A,62,1
62…147,1417167,C,3,700,C,62,1
62…147,1999021,C,3,702,C,62,1
62…147,1420111,C,3,701,C,62,1
62…147,1355112,C,3,711,C+,62,1
62…147,1420113,C,1,729,D+,62,1
62…147,2204171,C,3,700,F,62,1
62…147,1355111,C,3,99,P,62,1
62…148,1420113,C,1,729,A,62,1
62…148,2999144,C,1,731,A,62,1
62…148,1999111,C,2,717,A,62,1
62…148,1999021,C,3,702,B,62,1
62…148,1420111,C,3,701,B+,62,1
62…148,2204171,C,3,700,B+,62,1
62…148,1417167,C,3,700,C,62,1
62…148,1355112,C,3,711,C+,62,1
62…148,1355111,C,3,99,P,62,1
62…149,2999144,C,1,731,A,62,1
62…149,1999111,C,2,717,A,62,1
62…149,1420113,C,1,729,B,62,1
62…149,2204171,C,3,700,B+,62,1
62…149,1999021,C,3,702,C,62,1
62…149,1417167,C,3,700,F,62,1
62…149,1420111,C,3,701,F,62,1
62…149,1355111,C,3,713,P,62,1
62…150,2999144,C,1,731,A,62,1
62…150,1999111,C,2,717,A,62,1
62…150,1420113,C,1,729,B,62,1
62…150,1420111,C,3,701,B+,62,1
62…150,1999021,C,3,702,C,62,1
62…150,2204171,C,3,700,C,62,1
62…150,1417167,C,3,700,D,62,1
62…150,1355111,C,3,99,P,62,1
62…150,1355112,C,3,99,P,62,1
62…151,1355111,C,3,99,P,62,1
62…152,1420113,C,1,729,A,62,1
62…152,2999144,C,1,731,A,62,1
62…152,1999111,C,2,717,A,62,1
62…152,1355112,C,3,711,B+,62,1
62…152,1420111,C,3,701,C,62,1
62…152,1999021,C,3,702,C+,62,1
62…152,1417167,C,3,700,D+,62,1
62…152,2204171,C,3,700,F,62,1
62…152,1355111,C,3,99,P,62,1
62…153,2999144,C,1,731,A,62,1
62…153,1999111,C,2,717,A,62,1
62…153,1420113,C,1,729,B,62,1
62…153,1999021,C,3,702,C,62,1
62…153,1355112,C,3,711,C,62,1
62…153,1420111,C,3,701,C,62,1
62…153,2204171,C,3,700,D,62,1
62…153,1417167,C,3,700,D+,62,1
62…153,1355111,C,3,99,P,62,1
62…154,2999144,C,1,731,A,62,1
62…154,1999111,C,2,717,A,62,1
62…154,1420113,C,1,729,C+,62,1
62…154,1999021,C,3,702,C+,62,1
62…154,1417167,C,3,700,F,62,1
62…154,2204171,C,3,700,F,62,1
62…154,1355111,C,3,713,P,62,1
62…154,1420111,C,3,701,W,62,1
62…155,2999144,C,1,731,A,62,1
62…155,1999111,C,2,717,A,62,1
62…155,1420113,C,1,729,B,62,1
62…155,1420111,C,3,701,B,62,1
62…155,1355112,C,3,711,B+,62,1
62…155,2204171,C,3,700,B+,62,1
62…155,1417167,C,3,700,C+,62,1
62…155,1999021,C,3,702,C+,62,1
62…155,1355111,C,3,99,P,62,1
62…156,2999144,C,1,731,A,62,1
62…156,1999111,C,2,717,A,62,1
62…156,1420113,C,1,729,B,62,1
62…156,1355112,C,3,711,C,62,1
62…156,1999021,C,3,702,C+,62,1
62…156,1417167,C,3,700,D,62,1
62…156,1420111,C,3,701,D,62,1
62…156,2204171,C,3,700,F,62,1
62…156,1355111,C,3,99,P,62,1
62…157,1420113,C,1,729,A,62,1
62…157,2999144,C,1,731,A,62,1
62…157,1999111,C,2,717,A,62,1
62…157,2204171,C,3,700,B,62,1
62…157,1355112,C,3,711,B+,62,1
62…157,1417167,C,3,700,C+,62,1
