STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
62…147,2738473,C,3,700,A,66,1
62…147,2738453,C,3,700,A,66,1
62…147,1200101,C,3,700,A,66,1
62…147,92204271,C,3,700,D,66,1
62…147,92204495,C,2,700,F,66,1
62…147,92204361,C,3,700,F,66,1
62…155,2204381,C,1,711,A,66,1
62…156,92204390,C,1,700,A,66,1
62…177,2738453,C,3,700,A,66,1
62…177,92204361,C,3,700,C,66,1
62…177,92204271,C,3,700,D,66,1
62…183,92204499,C,2,711,F,66,1
62…185,92204311,C,3,700,C,66,1
62…185,1417267,C,3,700,D+,66,1
62…189,92204390,C,1,700,A,66,1
62…189,1417267,C,3,700,C,66,1
62…201,1200101,C,3,700,A,66,1
62…201,1355209,C,3,704,C,66,1
62…201,2204381,C,1,712,D+,66,1
62…201,92204231,C,3,700,F,66,1
62…201,92204271,C,3,700,F,66,1
62…201,1417267,C,3,700,F,66,1
62…201,92204221,C,3,700,F,66,1
62…204,3751111,C,3,703,A,66,1
62…204,1417267,C,3,700,D+,66,1
62…207,92204481,C,3,700,B,66,1
62…207,92204495,C,2,700,B+,66,1
62…207,92204431,C,3,700,C+,66,1
62…210,1417267,C,3,700,D,66,1
