STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
60…1,002714101,C,3,700,A,63,2
60…1,002204461,C,3,700,B,63,2
60…1,002204499,C,2,711,B+,63,2
60…1,002204421,C,3,700,C,63,2
60…2,002204490,C,6,711,B+,63,2
60…3,001420114,C,1,717,A,63,2
60…3,001387102,C,3,700,A,63,2
60…3,001387101,C,3,700,A,63,2
60…3,002204495,C,2,700,A,63,2
60…3,001355208,C,3,702,B+,63,2
60…3,001388263,C,3,700,B+,63,2
60…3,002204412,C,3,700,C,63,2
60…3,002204482,C,3,700,D+,63,2
60…4,002204490,C,6,711,A,63,2
60…5,002204490,C,6,711,A,63,2
60…6,002204490,C,6,711,A,63,2
60…7,002204490,C,6,711,A,63,2
60…8,002204490,C,6,711,A,63,2
60…9,002204490,C,6,711,A,63,2
60…10,002204490,C,6,711,B,63,2
60…11,002204490,C,6,711,A,63,2
60…12,002204490,C,6,711,A,63,2
60…13,002204490,C,6,711,A,63,2
60…14,002204490,C,6,711,A,63,2
60…15,002204490,C,6,711,B+,63,2
60…16,002204490,C,6,711,A,63,2
60…17,002204490,C,6,711,A,63,2
60…18,002204490,C,6,711,A,63,2
60…19,002204490,C,6,711,A,63,2
60…20,002204490,C,6,711,A,63,2
60…21,002204490,C,6,711,A,63,2
60…23,002204490,C,6,711,B+,63,2
60…24,002204490,C,6,711,A,63,2
60…25,002204490,C,6,711,A,63,2
60…26,002204490,C,6,711,A,63,2
60…27,002204490,C,6,711,A,63,2
60…28,002204490,C,6,711,A,63,2
60…30,002204490,C,6,711,A,63,2
60…31,002204490,C,6,711,B+,63,2
60…32,002204490,C,6,711,A,63,2
60…33,002204490,C,6,711,A,63,2
60…34,002204490,C,6,711,A,63,2
60…35,002204490,C,6,711,A,63,2
60…36,002204490,C,6,711,A,63,2
60…37,002204490,C,6,711,A,63,2
60…38,002204490,C,6,711,A,63,2
60…39,002204499,C,2,711,A,63,2
60…39,002204461,C,3,700,B,63,2
60…39,002204428,C,3,700,B,63,2
60…39,002204421,C,3,700,B,63,2
60…40,002204490,C,6,711,A,63,2
60…42,002204490,C,6,711,B,63,2
60…43,002204490,C,6,711,A,63,2
60…45,001420114,C,1,848,A,63,2
60…45,001417267,C,3,845,B,63,2
60…45,002204461,C,3,841,B+,63,2
60…45,002714102,C,3,845,B+,63,2
60…45,002204499,C,2,843,B+,63,2
60…45,002204421,C,3,841,C+,63,2
60…46,001999213,C,3,890,A,63,2
60…46,001417267,C,3,845,B,63,2
60…46,002204482,C,3,841,B+,63,2
60…46,002204499,C,2,843,B+,63,2
60…46,002204421,C,3,841,C,63,2
60…46,001999021,C,3,890,C+,63,2
60…48,001999213,C,3,890,A,63,2
60…48,002204499,C,2,843,A,63,2
60…48,001417267,C,3,845,B,63,2
60…48,002999044,C,3,890,B+,63,2
60…48,002204421,C,3,841,C,63,2
60…48,002204232,C,3,841,D,63,2
60…49,001999213,C,3,890,A,63,2
60…49,002204232,C,3,841,B,63,2
60…49,002714101,C,3,845,B+,63,2
60…49,002204461,C,3,841,C+,63,2
60…49,002204421,C,3,841,D+,63,2
60…49,002204499,C,2,843,F,63,2
60…51,001999213,C,3,890,A,63,2
60…51,002204499,C,2,843,A,63,2
60…51,002714102,C,3,845,B+,63,2
60…51,002204461,C,3,841,C,63,2
60…51,002204421,C,3,841,C,63,2
60…51,002204232,C,3,841,C+,63,2
60…51,003751111,C,3,845,W,63,2
60…52,003751111,C,3,845,A,63,2
60…52,001420111,C,3,846,C,63,2
60…52,001417267,C,3,845,C+,63,2
60…52,002204421,C,3,841,D,63,2
60…52,002204232,C,3,841,D+,63,2
60…52,002204451,C,3,841,W,63,2
60…52,001175119,C,1,800,W,63,2
60…53,002204499,C,2,843,A,63,2
60…53,001417168,C,3,845,D,63,2
60…53,002204232,C,3,841,D,63,2
60…53,002204421,C,3,841,D,63,2
60…53,001420111,C,3,846,D+,63,2
60…53,002204451,C,3,841,W,63,2
60…54,002717011,C,3,845,A,63,2
60…54,001999213,C,3,890,A,63,2
60…54,001420114,C,1,848,A,63,2
60…54,002204499,C,2,843,A,63,2
60…54,001420112,C,3,846,B,63,2
60…54,001417267,C,3,845,B,63,2
60…54,002204461,C,3,841,B,63,2
60…54,002204451,C,3,841,C+,63,2
60…54,002204232,C,3,841,D,63,2
60…55,002204490,C,6,843,A,63,2
60…56,001999213,C,3,890,A,63,2
60…56,001420114,C,1,848,A,63,2
60…56,002204499,C,2,843,A,63,2
60…56,001420112,C,3,846,B,63,2
60…56,002204461,C,3,841,B,63,2
60…56,002204223,C,3,841,B,63,2
60…59,002204490,C,6,843,A,63,2
60…62,002204490,C,6,843,A,63,2
60…64,001175119,C,1,800,A,63,2
60…64,001420114,C,1,848,A,63,2
60…64,002204499,C,2,843,A,63,2
60…64,001417267,C,3,845,B,63,2
60…64,002204461,C,3,841,B,63,2
60…64,002204451,C,3,841,C+,63,2
60…65,001999213,C,3,890,A,63,2
60…65,002999044,C,3,890,A,63,2
60…65,002204421,C,3,841,C,63,2
60…65,001417267,C,3,845,C+,63,2
60…65,002204232,C,3,841,W,63,2
60…66,001999213,C,3,890,A,63,2
60…66,002204499,C,2,843,A,63,2
60…66,001999033,C,3,890,B,63,2
60…66,001417267,C,3,845,B,63,2
60…66,002204451,C,3,841,D+,63,2
60…67,002999044,C,3,890,A,63,2
60…67,002204482,C,3,841,B+,63,2
60…67,001999021,C,3,890,C,63,2
60…67,001417168,C,3,845,C,63,2
60…67,002204111,C,3,841,D,63,2
60…67,002204421,C,3,841,D,63,2
60…67,002204172,C,1,843,F,63,2
60…68,002204490,C,6,843,A,63,2
60…70,001175119,C,1,800,A,63,2
60…70,001999213,C,3,890,A,63,2
60…70,002204499,C,2,843,B,63,2
60…70,002204451,C,3,841,C,63,2
60…70,002204371,C,3,841,C,63,2
60…70,001999033,C,3,890,C+,63,2
60…70,002204461,C,3,841,C+,63,2
60…71,002204490,C,6,843,A,63,2
60…73,001999213,C,3,890,A,63,2
60…73,002204499,C,2,843,B,63,2
60…73,001175119,C,1,800,B+,63,2
60…73,002717011,C,3,845,B+,63,2
60…73,001999033,C,3,890,C,63,2
60…73,002204461,C,3,841,C+,63,2
60…73,002204451,C,3,841,C+,63,2
60…73,002204371,C,3,841,C+,63,2
60…73,002204232,C,3,841,D,63,2
60…74,001999213,C,3,890,A,63,2
60…74,002999044,C,3,890,A,63,2
60…74,001417267,C,3,845,B,63,2
60…74,002204482,C,3,841,B,63,2
60…74,002204499,C,2,843,B+,63,2
60…75,002204490,C,6,843,A,63,2
60…76,002204490,C,6,843,A,63,2
60…77,002717011,C,3,845,B+,63,2
60…77,002204461,C,3,841,C,63,2
60…77,001417267,C,3,845,C+,63,2
60…77,002204232,C,3,841,D,63,2
60…77,002204421,C,3,841,D,63,2
60…77,001175119,C,1,800,F,63,2
60…77,001355103,C,3,845,W,63,2
60…79,003751111,C,3,845,A,63,2
60…79,001999213,C,3,890,A,63,2
60…79,002204499,C,2,843,A,63,2
60…79,002714102,C,3,845,B+,63,2
60…79,001420111,C,3,845,D,63,2
60…79,002204421,C,3,841,D,63,2
60…80,003751111,C,3,845,A,63,2
60…80,001420111,C,3,846,B,63,2
60…80,001417267,C,3,845,B,63,2
60…80,002714101,C,3,845,B+,63,2
60…80,002204499,C,2,843,B+,63,2
60…80,002204421,C,3,841,C,63,2
60…80,002204232,C,3,841,F,63,2
60…81,002999044,C,3,890,A,63,2
60…81,002714102,C,3,845,A,63,2
60…81,001417168,C,3,845,C,63,2
60…81,002204223,C,3,841,D,63,2
60…81,001999021,C,3,890,F,63,2
60…81,002204482,C,3,841,W,63,2
60…82,002204490,C,6,843,A,63,2
60…83,001999213,C,3,890,A,63,2
60…83,002714101,C,3,845,A,63,2
60…83,001417267,C,3,845,B+,63,2
60…83,002204461,C,3,841,C,63,2
60…83,002204421,C,3,841,C,63,2
60…83,002204232,C,3,841,D,63,2
60…83,002204499,C,2,843,F,63,2
60…84,002204490,C,6,843,A,63,2
