STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
60…3,002204499,C,2,711,A,64,1
60…48,003751111,C,3,845,A,64,1
60…48,001175165,C,1,835,A,64,1
60…48,002204431,C,3,841,C,64,1
60…48,002204361,C,3,841,D,64,1
60…52,002204495,C,2,841,A,64,1
60…52,002204431,C,3,841,B,64,1
60…52,002708102,C,3,845,B+,64,1
60…52,002204311,C,3,841,C+,64,1
60…52,002204361,C,3,841,D,64,1
60…53,002204431,C,3,841,B,64,1
60…53,002204361,C,3,841,C,64,1
60…53,002204311,C,3,841,D+,64,1
60…53,001200101,C,3,833,W,64,1
60…56,003751111,C,3,845,A,64,1
60…56,001999033,C,3,890,A,64,1
60…56,001200101,C,3,833,A,64,1
60…56,002204452,C,3,841,B,64,1
60…56,002204431,C,3,841,C,64,1
60…56,002204224,C,1,843,C+,64,1
60…65,003751111,C,3,845,A,64,1
60…65,001420112,C,3,845,C,64,1
60…65,002204361,C,3,841,D,64,1
60…65,002204271,C,3,841,D,64,1
60…73,002201459,C,3,830,A,64,1
60…77,002204495,C,2,841,A,64,1
60…77,002708102,C,3,845,B+,64,1
60…77,002204311,C,3,841,C,64,1
60…77,002204271,C,3,841,D,64,1
60…79,001200101,C,3,833,A,64,1
60…79,001420112,C,3,845,D,64,1
60…79,002204231,C,3,841,F,64,1
60…79,002204271,C,3,841,F,64,1
60…79,002204361,C,3,841,W,64,1
60…80,001420114,C,1,846,A,64,1
60…80,001999213,C,3,891,A,64,1
60…80,001200101,C,3,833,A,64,1
60…80,001420112,C,3,845,B,64,1
60…80,002204452,C,3,841,B+,64,1
60…80,002204361,C,3,841,D,64,1
60…80,002204271,C,3,841,D,64,1
60…81,001200101,C,3,833,A,64,1
60…81,002204452,C,3,841,B+,64,1
60…81,001403117,C,3,845,C,64,1
60…81,002204231,C,3,841,D,64,1
60…81,002204271,C,3,841,D,64,1
60…81,002204311,C,3,841,D+,64,1
60…81,002204224,C,1,843,D+,64,1
60…81,002204495,C,2,841,W,64,1
