STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
60…1,002204495,C,2,700,A,63,1
60…1,001355208,C,3,700,B,63,1
60…1,002204481,C,3,700,C,63,1
60…1,002204452,C,3,700,C+,63,1
60…1,002204361,C,3,700,D,63,1
60…1,002204311,C,3,700,D+,63,1
60…2,002204390,C,1,700,A,63,1
60…2,002999044,C,3,701,A,63,1
60…2,001371111,C,1,701,B,63,1
60…2,001132101,C,3,703,B,63,1
60…2,002204452,C,3,700,B+,63,1
60…2,002033302,C,3,700,B+,63,1
60…2,002204431,C,3,700,C,63,1
60…3,002714102,C,3,700,A,63,1
60…3,001387121,C,3,700,A,63,1
60…3,001175165,C,1,712,B+,63,1
60…3,002204433,C,3,700,D,63,1
60…3,002204311,C,3,700,D,63,1
60…3,002204481,C,3,700,D,63,1
60…3,001420112,C,3,701,D+,63,1
60…3,002204495,C,2,700,W,63,1
60…4,002204390,C,1,700,A,63,1
60…4,002999044,C,3,701,A,63,1
60…4,002204452,C,3,700,B,63,1
60…4,001355209,C,3,703,B,63,1
60…4,002033302,C,3,700,B+,63,1
60…4,002204433,C,3,700,C+,63,1
60…5,001999141,C,3,701,A,63,1
60…5,002204390,C,1,700,A,63,1
60…5,001999012,C,3,700,B,63,1
60…5,002204452,C,3,700,B,63,1
60…5,001355208,C,3,700,B+,63,1
60…5,002204431,C,3,700,C,63,1
60…5,001371111,C,1,701,C+,63,1
60…6,002204390,C,1,700,A,63,1
60…6,002204433,C,3,700,A,63,1
60…6,002999044,C,3,701,A,63,1
60…6,002033302,C,3,700,A,63,1
60…6,001355209,C,3,703,B,63,1
60…6,002204452,C,3,700,B+,63,1
60…7,002204390,C,1,700,A,63,1
60…7,001999141,C,3,700,B+,63,1
60…7,002204431,C,3,700,C,63,1
60…7,001355209,C,3,703,C+,63,1
60…7,002204361,C,3,700,C+,63,1
60…7,001417267,C,3,700,D,63,1
60…7,002204481,C,3,700,D+,63,1
60…8,002204390,C,1,700,A,63,1
60…8,001420114,C,1,711,A,63,1
60…8,002701011,C,3,702,B,63,1
60…8,001999141,C,3,701,B+,63,1
60…8,002204431,C,3,700,C,63,1
60…8,001420112,C,3,700,C,63,1
60…8,001355209,C,3,703,C,63,1
60…8,002204481,C,3,700,C,63,1
60…8,002721121,C,3,701,C,63,1
60…9,002204390,C,1,700,A,63,1
60…9,002999044,C,3,701,A,63,1
60…9,002033302,C,3,700,A,63,1
60…9,002204452,C,3,700,B,63,1
60…9,001371111,C,1,701,C+,63,1
60…10,002204390,C,1,700,A,63,1
60…10,001371111,C,1,701,A,63,1
60…10,002033302,C,3,700,B+,63,1
60…10,002204431,C,3,700,C,63,1
60…10,002204481,C,3,700,C,63,1
60…10,001420112,C,3,700,D+,63,1
60…11,002204431,C,3,700,A,63,1
60…11,002204390,C,1,700,A,63,1
60…11,002204452,C,3,700,A,63,1
60…11,002714102,C,3,700,A,63,1
60…11,002204433,C,3,700,B+,63,1
60…12,001999213,C,3,701,A,63,1
60…12,002204390,C,1,700,A,63,1
60…12,002204433,C,3,700,A,63,1
60…12,002750225,C,3,700,A,63,1
60…12,002204452,C,3,700,A,63,1
60…12,001355209,C,3,703,A,63,1
60…12,002204481,C,3,700,A,63,1
60…13,002204390,C,1,700,A,63,1
60…13,002999044,C,3,701,A,63,1
60…13,002204452,C,3,700,B+,63,1
60…13,001355208,C,3,700,B+,63,1
60…13,002204431,C,3,700,C+,63,1
60…14,001999213,C,3,701,A,63,1
60…14,001999141,C,3,701,A,63,1
60…14,002204431,C,3,700,A,63,1
60…14,002204390,C,1,700,A,63,1
60…14,001999035,C,3,700,A,63,1
60…14,002714101,C,3,700,A,63,1
60…15,002717011,C,3,701,A,63,1
60…15,002204390,C,1,700,A,63,1
60…15,002204452,C,3,700,A,63,1
60…15,002999044,C,3,701,A,63,1
60…15,002033302,C,3,700,B,63,1
60…15,001371111,C,1,701,B+,63,1
60…16,002204390,C,1,700,A,63,1
60…16,002750225,C,3,700,A,63,1
60…16,002204452,C,3,700,B+,63,1
