STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
60…1,001371111,C,1,700,B,62,1
60…1,002204224,C,1,711,B,62,1
60…1,001132101,C,3,701,C,62,1
60…1,002204321,C,3,700,C+,62,1
60…1,002204351,C,3,700,C+,62,1
60…1,001355113,C,3,701,D,62,1
60…1,002204231,C,3,700,D,62,1
60…1,002204381,C,1,711,D+,62,1
60…1,002204311,C,3,700,W,62,1
60…2,002204224,C,1,711,A,62,1
60…2,002204381,C,1,711,A,62,1
60…2,001355208,C,3,700,B,62,1
60…2,002204321,C,3,700,B,62,1
60…2,001101101,C,3,700,B,62,1
60…2,002204351,C,3,700,B,62,1
60…2,002204361,C,3,700,B,62,1
60…2,002204311,C,3,700,C+,62,1
60…3,001175119,C,1,711,A,62,1
60…3,003751112,C,3,701,B+,62,1
60…3,002204224,C,1,711,B+,62,1
60…3,002204321,C,3,700,C,62,1
60…3,001371111,C,1,710,C+,62,1
60…3,002204351,C,3,700,D,62,1
60…3,002204381,C,1,711,D,62,1
60…3,002204271,C,3,700,D+,62,1
60…3,002204361,C,3,700,D+,62,1
60…3,002204311,C,3,700,F,62,1
60…4,001507102,C,1,700,B,62,1
60…4,002204361,C,3,700,B,62,1
60…4,001507101,C,1,700,B+,62,1
60…4,002204224,C,1,711,B+,62,1
60…4,001355113,C,3,700,C,62,1
60…4,001101101,C,3,700,C,62,1
60…4,002204321,C,3,700,C+,62,1
60…4,002204351,C,3,700,C+,62,1
60…4,002204381,C,1,711,C+,62,1
60…4,002204311,C,3,700,D+,62,1
60…5,001101101,C,3,700,A,62,1
60…5,002204224,C,1,711,A,62,1
60…5,002204361,C,3,700,B,62,1
60…5,002204381,C,1,711,B+,62,1
60…5,002204351,C,3,700,C,62,1
60…5,002204311,C,3,700,C+,62,1
60…5,002204321,C,3,700,D,62,1
60…5,001355113,C,3,700,D,62,1
60…6,001507102,C,1,700,A,62,1
60…6,002204321,C,3,700,A,62,1
60…6,002204351,C,3,700,A,62,1
60…6,002204311,C,3,700,A,62,1
60…6,002204381,C,1,711,A,62,1
60…6,001507101,C,1,700,B,62,1
60…6,001101101,C,3,700,B+,62,1
60…6,002204224,C,1,711,B+,62,1
60…6,001355113,C,3,700,C+,62,1
60…6,002204361,C,3,700,C+,62,1
60…7,001507102,C,1,700,B,62,1
60…7,002204321,C,3,700,B,62,1
60…7,002204381,C,1,711,B,62,1
60…7,001507101,C,1,700,B+,62,1
