STD-ID,SUB-ID,REGIS-TYPE,CREDIT,SEC,GRADE,YEAR,SEMESTER
61…88,002204499,C,2,711,A,64,2
61…88,001420114,C,1,717,B+,64,2
61…88,002204232,C,3,700,C,64,2
61…88,001420112,C,3,700,C+,64,2
61…88,001417168,C,3,702,D,64,2
61…88,002204472,C,3,700,D+,64,2
61…88,002204482,C,3,700,W,64,2
61…89,002204490,C,6,711,A,64,2
61…90,002204490,C,6,711,A,64,2
61…91,002204461,C,3,700,B,64,2
61…91,002204232,C,3,700,B,64,2
61…91,002204472,C,3,700,B,64,2
61…91,002204482,C,3,700,B+,64,2
61…91,002204499,C,2,711,F,64,2
61…92,002204490,C,6,711,A,64,2
61…93,001420114,C,1,730,A,64,2
61…93,001101101,C,3,700,B+,64,2
61…93,002204412,C,3,700,C,64,2
61…93,002204111,C,3,700,D,64,2
61…93,002204232,C,3,700,D,64,2
61…93,002204371,C,3,700,D+,64,2
61…93,002204499,C,2,711,W,64,2
61…95,002204490,C,6,711,A,64,2
61…96,002204490,C,6,711,A,64,2
61…97,002204490,C,6,711,A,64,2
61…98,002204490,C,6,711,A,64,2
61…100,002204490,C,6,711,A,64,2
61…101,001420114,C,1,717,A,64,2
61…101,002204482,C,3,700,B,64,2
61…101,002204461,C,3,700,C+,64,2
61…101,002204232,C,3,700,C+,64,2
61…101,002204371,C,3,700,D,64,2
61…101,002204499,C,2,711,F,64,2
61…102,001420114,C,1,730,B+,64,2
61…102,001101101,C,3,700,B+,64,2
61…102,002204412,C,3,700,C,64,2
61…102,002204482,C,3,700,C,64,2
61…102,002204472,C,3,700,C,64,2
61…102,002204499,C,2,711,F,64,2
61…103,001420114,C,1,713,A,64,2
61…103,002204482,C,3,700,C,64,2
61…103,002204472,C,3,700,C,64,2
61…103,002204232,C,3,700,D,64,2
61…105,001999041,C,3,700,B,64,2
61…105,002204461,C,3,700,B+,64,2
61…105,001420114,C,1,717,B+,64,2
61…105,002204499,C,2,711,F,64,2
61…105,002204451,C,3,700,W,64,2
61…106,002204482,C,3,700,C,64,2
61…106,002204232,C,3,700,D,64,2
61…107,002204490,C,6,711,A,64,2
61…108,002204490,C,6,711,A,64,2
61…109,001420114,C,1,730,A,64,2
61…109,002204272,C,1,711,A,64,2
61…109,001101101,C,3,700,B+,64,2
61…109,001420112,C,3,700,C,64,2
61…109,002204482,C,3,700,C,64,2
61…109,002204472,C,3,700,C,64,2
61…109,002204232,C,3,700,D,64,2
61…109,002204499,C,2,711,W,64,2
61…110,002204490,C,6,711,A,64,2
61…111,001420114,C,1,713,A,64,2
61…111,002714101,C,3,702,A,64,2
61…111,002204482,C,3,700,C,64,2
61…111,001420112,C,3,701,C+,64,2
61…111,002204371,C,3,700,D,64,2
61…111,002204232,C,3,700,D,64,2
61…111,002204495,C,2,700,W,64,2
61…112,002204490,C,6,711,A,64,2
61…114,002204490,C,6,711,A,64,2
61…115,002204490,C,6,711,A,64,2
61…117,002204499,C,2,711,A,64,2
61…117,001420114,C,1,717,A,64,2
61…117,002204461,C,3,700,B,64,2
61…117,002204482,C,3,700,B,64,2
61…117,002204371,C,3,700,C,64,2
